54,146,508,4468
50,140,720,4452
52,140,560,4454
50,144,578,4396
56,150,566,4768
66,150,562,4644
54,186,604,4630
64,144,564,4780
60,134,674,4790
56,148,532,4632
50,124,544,4550
52,148,884,4212
52,146,530,4520
54,140,736,4530
58,138,474,4050
52,140,502,4434
52,134,528,4506
56,140,522,4522
54,140,524,4462
54,138,520,4528
58,146,600,4636
52,150,538,4734
50,142,534,4552
56,138,530,4516
66,134,530,4400
52,136,520,4504
54,152,576,5102
60,146,540,4512
58,142,552,4682
52,134,676,4502
56,132,536,4532
50,150,714,4504
52,132,532,4700
54,130,674,4590
56,146,622,4826
58,144,600,4660
62,146,548,4838
54,146,532,4604
54,150,534,4556
52,146,540,4604
52,144,554,4684
50,146,536,4674
58,178,586,4786
50,142,570,4548
54,146,548,4766
52,130,534,4618
48,142,518,4456
52,144,520,4534
58,142,528,4606
58,146,532,4640
52,148,532,4642
54,148,538,4654
52,142,600,4642
54,150,590,4650
54,146,622,4720
52,148,522,4614
56,136,552,4658
56,152,530,4820
52,144,550,4684
58,128,540,4602
54,164,518,4676
52,152,604,4672
52,130,520,4644
52,146,528,4674
54,144,532,4642
50,144,524,4710
54,154,532,4638
52,142,562,4650
52,142,534,4622
50,140,514,4484
56,140,508,4546
52,138,518,4408
104,148,556,4752
52,152,600,4834
54,144,540,4688
50,148,542,52606
54,152,560,4794
56,150,548,4800
54,168,542,4652
58,142,538,4648
54,164,520,4660
52,142,562,4658
54,150,572,4702
54,130,540,4610
54,144,552,4796
54,124,512,4658
56,148,598,4598
52,150,554,4610
58,142,534,4502
54,144,600,4644
54,150,538,4666
60,148,530,4646
60,140,530,4610
52,144,546,4602
56,146,596,4688
54,130,540,4798
50,140,520,4512
52,128,512,4450
52,126,510,4462
50,140,500,4414
50,136,516,4416
50,140,524,4068
52,138,578,4490
50,138,550,4458
52,136,536,4508
58,142,514,4462
62,144,538,4910
66,166,588,4886
56,126,500,4404
54,144,516,4512
54,142,524,4308
52,140,558,4472
52,142,524,4548
54,140,518,4492
52,144,564,4534
54,140,532,4414
56,138,498,4422
56,148,540,4736
54,142,542,4660
58,130,650,4622
54,148,534,4670
52,140,532,4576
54,128,542,4710
56,142,518,4634
50,146,536,4622
54,146,604,4616
60,150,572,4784
48214,138,530,4482
54,148,558,4712
56,170,552,4200
52,146,602,4602
58,140,534,4654
58,170,602,47056
60,150,534,4638
54,130,522,4538
52,146,548,4758
52,146,562,4698
60,124,534,4580
56,126,544,4608
52,130,542,4656
58,126,540,4736
60,144,554,4710
50,128,540,4652
58,136,592,4608
56,154,536,4772
54,162,508,4694
54,138,520,4598
52,128,534,4644
58,148,546,4658
54,146,586,4680
58,140,552,4588
54,146,534,4654
58,164,534,4550
58,132,540,4648
52,140,682,4528
68,148,618,4878
60,132,530,4398
56,150,566,4614
62,150,562,4848
50,148,516,4694
50,146,536,4644
52,146,544,4630
58,162,526,4646
52,146,536,4522
56,142,568,4818
56,148,514,4570
58,148,518,4674
52,146,546,4732
54,160,574,4060
54,142,544,4650
52,142,690,4604
54,146,572,4778
54,132,674,4788
52,128,536,4628
54,132,534,4576
52,162,634,4940
50,174,524,4478
60,152,522,4602
58,122,588,4788
52,132,528,4606
52,124,498,4418
50,140,524,4502
54,128,530,4500
52,142,680,4514
58,136,520,4514
56,156,552,4846
56,146,602,4680
56,146,540,4700
54,146,556,4648
58,146,552,4726
56,144,538,4538
50,140,584,4484
54,148,536,4182
114,176,568,4464
78,130,508,4458
64,146,530,4608
60,164,528,4582
56,146,548,4632
50,148,560,4702
64,156,568,4570
130,146,566,4570
64,154,492,4324
50,148,598,4656
52,144,552,4494
58,144,576,4460
52,154,608,4862
52,134,550,4622
54,144,534,4660
52,144,532,4620
50,136,522,4626
48,154,574,4818
54,138,672,4474
58,146,558,4798
54,142,526,4612
54,148,538,4690
56,152,544,4760
52,172,590,4786
54,150,626,4794
56,128,554,4832
52,126,536,4602
52,142,598,4608
52,146,568,4638
54,146,542,4688
52,144,544,4628
50,142,602,4624
54,144,520,4636
60,142,672,4724
58,150,542,4832
56,148,528,4684
50,140,532,4668
54,140,532,4168
54,148,570,4628
54,146,554,4706
54,150,568,4814
52,146,590,4596
54,150,580,4816
52,146,532,4586
60,144,542,4814
52,136,540,4716
52,132,536,4636
