,36,34,34,38,38,40,40,38
,34,36,38,38,36,38,40,38
,36,34,38,34,38,38,38,38
,36,36,36,38,38,36,36,40
,36,36,36,36,38,40,40,40
,34,34,36,38,38,36,38,38
,36,38,38,34,38,36,42,38
,38,34,36,38,40,38,36,38
,36,36,40,40,42,36,36,40
,38,36,38,40,42,38,36,44
,38,34,36,38,38,38,38,40
,34,36,38,38,38,40,34,40
,38,34,40,38,38,38,40,38
,44,44,44,52,38,42,52,40
,36,34,38,36,38,42,40,38
,36,36,36,40,38,36,40,38
,36,38,36,36,38,40,40,42
,34,36,36,36,36,36,42,40
,36,38,36,38,40,38,40,40
,38,36,36,36,36,38,40,42
,36,36,36,38,36,36,38,40
,38,34,38,36,40,38,40,38
,34,34,42,36,38,38,38,38
,34,34,38,40,38,38,36,42
,40,36,38,36,38,38,38,42
,36,36,36,36,40,38,38,40
,36,36,38,36,38,40,40,40
,36,36,36,38,38,38,38,38
,36,38,36,36,36,40,38,42
,36,36,38,34,40,36,40,38
,38,34,36,36,40,36,36,36
,36,36,36,40,38,36,40,40
,36,36,36,38,38,36,38,40
,36,36,36,38,38,34,42,40
,36,34,36,38,38,36,42,40
,34,34,36,38,40,36,38,40
,36,34,36,34,36,36,38,38
,32,36,34,38,36,38,40,40
,32,34,34,36,36,36,36,40
,30,32,36,36,36,36,36,40
,34,34,36,34,34,36,36,38
,34,34,34,34,36,36,38,34
,36,34,34,34,36,36,38,36
,34,34,34,36,38,36,38,36
,34,38,38,34,36,38,36,38
,36,36,38,36,36,38,38,36
,32,36,38,36,36,38,40,40
,34,36,36,38,36,38,40,40
,34,34,34,36,40,36,38,38
,38,40,38,36,36,36,44,38
,34,36,38,38,38,36,36,38
,36,36,38,36,36,36,38,40
,34,34,38,36,36,38,38,38
,34,32,36,36,36,36,38,42
,32,34,40,36,36,34,40,38
,36,36,36,36,36,36,40,38
,36,36,36,36,36,36,38,38
,34,34,36,36,36,38,38,36
,36,36,34,40,38,38,66,40
,32,34,36,38,36,38,40,36
,38,36,38,38,38,34,42,40
,34,40,38,38,40,40,40,38
,36,42,36,36,36,40,44,42
,40,36,40,38,38,36,42,38
,38,34,36,36,38,36,40,42
,36,36,38,38,38,38,38,42
,38,36,38,42,38,38,38,38
,36,34,38,42,44,42,42,44
,36,36,36,36,36,38,40,42
,38,38,38,38,38,40,40,40
,36,36,38,38,38,40,38,38
,38,34,38,36,38,36,40,40
,34,36,38,36,38,40,40,38
,38,36,38,34,38,38,38,40
,36,34,38,42,38,42,46,48
,36,36,40,38,38,40,38,42
,38,38,36,38,38,38,40,40
,36,36,36,36,40,38,38,40
,36,34,36,36,38,36,40,38
,34,34,38,38,40,36,40,38
,40,36,36,36,40,40,38,40
,36,36,36,36,38,38,38,40
,36,36,36,226,38,38,36,42
,36,36,40,40,38,40,40,40
,36,36,40,34,38,38,40,40
,36,34,38,38,38,38,38,40
,36,34,38,42,36,40,40,40
,38,36,38,38,44,38,50,38
,36,36,38,36,40,38,38,38
,36,40,38,36,36,36,38,38
,36,38,38,36,38,40,36,38
,36,40,36,38,36,36,40,40
,36,36,38,36,38,38,38,38
,36,40,38,34,36,38,40,40
,38,36,38,38,36,36,38,40
,34,36,38,36,36,38,40,42
,34,36,36,38,36,38,38,40
,34,36,38,38,36,36,38,40
,36,36,34,36,36,38,40,42
,38,36,36,36,38,36,40,38
,36,34,36,36,36,36,40,38
,36,38,36,36,38,42,38,40
,36,38,36,36,38,36,38,40
,36,36,36,40,38,38,40,40
,36,38,36,36,40,38,38,42
,36,34,38,36,38,36,38,40
,38,40,34,38,38,36,40,38
,34,36,42,36,40,38,38,38
,36,40,38,38,36,38,38,40
,38,38,38,36,38,38,38,40
,36,36,36,38,36,36,38,36
,36,36,34,38,38,38,40,38
,38,34,36,34,38,38,40,40
,36,36,38,36,40,38,40,38
,38,34,36,38,34,38,42,38
,38,36,36,36,36,38,40,38
,36,40,40,36,36,38,40,40
,36,36,34,34,40,36,38,38
,36,34,36,38,36,38,40,40
,34,34,38,36,38,34,38,38
,38,38,38,38,38,38,40,36
,34,34,38,38,38,36,40,42
,38,36,36,38,38,38,42,40
,34,34,36,36,36,38,38,38
,36,38,36,38,36,38,38,36
,38,34,36,38,36,36,36,42
,36,38,38,38,40,38,36,40
,38,58,38,36,36,38,40,42
,36,40,36,34,38,38,40,42
,36,36,36,38,38,36,38,40
,34,38,36,38,38,38,40,38
,36,36,38,38,38,38,36,40
,36,36,38,38,40,38,42,40
,38,32,38,36,38,38,36,40
,36,34,38,36,38,36,38,40
,36,36,38,38,38,38,38,40
,38,60,34,38,38,36,42,38
,36,36,42,38,36,36,38,42
,36,36,38,36,34,36,38,38
,36,36,40,36,40,40,38,40
,36,36,38,38,38,36,40,38
,36,36,38,34,36,36,38,38
,36,36,38,38,38,38,38,38
,36,34,36,34,38,36,36,42
,38,38,36,38,40,36,40,38
,38,38,36,36,36,38,40,40
,34,36,38,48,42,70,56,42
,38,34,40,38,38,38,42,38
,34,38,36,38,36,40,40,40
,38,32,36,34,38,38,36,40
,34,36,36,36,36,36,40,40
,36,34,38,36,36,38,40,40
,36,34,36,38,38,40,40,38
,34,36,36,38,40,42,38,38
,34,36,38,36,38,36,36,36
,36,34,40,38,38,38,36,40
,38,36,38,38,36,38,42,40
,36,34,36,38,38,38,40,40
,38,38,38,38,36,40,40,38
,38,36,38,36,38,36,38,40
,34,38,38,38,40,40,38,38
,38,34,40,36,38,38,40,42
,34,36,38,36,38,38,38,40
,38,34,38,36,38,38,38,40
,36,36,36,40,38,38,36,38
,36,38,38,34,36,36,38,38
,34,36,36,38,40,36,38,38
,36,36,40,38,38,40,40,36
